sc,year,stock,value,data,SSAdvice,RelativeToSS,Diff,Decision
max,2019,COD-CS,landings,2508,0,NA,2508,Overshoot
max,2019,HAD-CS,landings,9768,3761,2.597181601,6007,Overshoot
max,2019,MON-CS,landings,32482,29293,1.108865599,3189,Overshoot
max,2019,N-HKE,landings,123664,128236,0.964346985,-4572,Undershoot
max,2019,N-MEG,landings,25622,15092,1.697720647,10530,Overshoot
max,2019,SOL-7E,landings,1024,1237,0.827809216,-213,Undershoot
max,2019,SOL-7FG,landings,568,820,0.692682927,-252,Undershoot
max,2019,WHG-CS,landings,17018,9882,1.722121028,7136,Overshoot
max,2019,COD-CS,Fbar,0.642335687,0,NA,0.642335687,Overshoot
max,2019,HAD-CS,Fbar,0.678233598,0.4,1.695583995,0.278233598,Overshoot
max,2019,MON-CS,Fbar,0.294144154,0.28,1.050514836,0.014144154,Overshoot
max,2019,N-HKE,Fbar,0.252477422,0.28,0.901705079,-0.027522578,Undershoot
max,2019,N-MEG,Fbar,0.243827157,0.191,1.276581974,0.052827157,Overshoot
max,2019,SOL-7E,Fbar,0.226483288,0.29,0.780976855,-0.063516712,Undershoot
max,2019,SOL-7FG,Fbar,0.423906558,0.27,1.570024289,0.153906558,Overshoot
max,2019,WHG-CS,Fbar,0.567946839,0.52,1.09220546,0.047946839,Overshoot
max,2019,COD-CS,ssb,3618,3618,1,0,Correct
max,2019,HAD-CS,ssb,13365,13365,1,0,Correct
max,2019,MON-CS,ssb,80855,73972,1.093048721,6883,Overshoot
max,2019,N-HKE,ssb,342131,346616,0.987060609,-4485,Undershoot
max,2019,N-MEG,ssb,75184,111887,0.671963678,-36703,Undershoot
max,2019,SOL-7E,ssb,4105,4105,1,0,Correct
max,2019,SOL-7FG,ssb,1120,2913,0.38448335,-1793,Undershoot
max,2019,WHG-CS,ssb,42819,42819,1,0,Correct
min,2019,COD-CS,landings,0,0,NA,0,Correct
min,2019,HAD-CS,landings,0,3761,0,-3761,Undershoot
min,2019,MON-CS,landings,4904,29293,0.16741201,-24389,Undershoot
min,2019,N-HKE,landings,13835,128236,0.107887021,-114401,Undershoot
min,2019,N-MEG,landings,1452,15092,0.096209913,-13640,Undershoot
min,2019,SOL-7E,landings,16,1237,0.012934519,-1221,Undershoot
min,2019,SOL-7FG,landings,16,820,0.019512195,-804,Undershoot
min,2019,WHG-CS,landings,543,9882,0.054948391,-9339,Undershoot
min,2019,HAD-CS,Fbar,1.80E-05,0,NA,0.000018,Overshoot
min,2019,MON-CS,Fbar,0.039389538,0.4,0.098473845,-0.360610462,Undershoot
min,2019,N-HKE,Fbar,0.024897665,0.28,0.088920232,-0.255102335,Undershoot
min,2019,N-MEG,Fbar,0.012288127,0.28,0.043886168,-0.267711873,Undershoot
min,2019,SOL-7E,Fbar,0.00313427,0.191,0.016409791,-0.18786573,Undershoot
min,2019,SOL-7FG,Fbar,0.010645863,0.29,0.036709872,-0.279354137,Undershoot
min,2019,WHG-CS,Fbar,0.014775803,0.27,0.054725196,-0.255224197,Undershoot
min,2019,COD-CS,ssb,3618,3618,1,0,Correct
min,2019,HAD-CS,ssb,13365,13365,1,0,Correct
min,2019,MON-CS,ssb,80855,73972,1.093048721,6883,Overshoot
