stock,assess_area,tac_area
cod-7e-k,"VIIek,VIIaGad2","VIIbc,VIIek,VIII,IX,X,CECAF_1.1_Eu"
had-7b-k,"VIIbc,VIIek,VIIaGad2","VIIbk,VIII,IX,X,CECAF_1.1_Eu"
whg-7b-k,"VIIbc,VIIek,VIIaGad2",VIIbk
hke-nrtn,"IIa,III,Vb,VIIIabde,IV,VI,VII,XII,XIV","IIIa,IIIb_Eu,IIIc_Eu,IIId_Eu and IIa_Eu,IV_Eu and VI,"
hke-nrtn,"IIa,III,Vb,VIIIabde,IV,VI,VII,XII,XIV","VII,Vb_EuInt,XII_Int,XIV_Int and VIIIabde and VIIIc,IX,"
hke-nrtn,"IIa,III,Vb,VIIIabde,IV,VI,VII,XII,XIV","X,CECAF_1.1_Eu"
meg-rock,VIb,"Vb_EuInt,VI,XII_Int,XIV_Int"
meg-ivvi,"IVa,VIa","IIa_Eu,IV_Eu and VIb_EuInt,VI,XII_Int,XIV_Int"
mgw-78,"VIIbk,VIIIabde","VII,VIIIabde"
sol-celt,VIIfg,VIIfg
ple-7bc,VIIbc,VIIbc
sol-7h-k,VIIhk,VIIhk
sol-7bc,VIIbc,VIIbc
ple-7h-k,VIIhk,VIIhk
ple-celt,VIIfg,VIIfg
pol-67,"VII,VI","VI,Vb_EuInt,XII_Int,XIV_Int and VII"
nep-FU16,FU16,VII
nep-FU17,FU17,VII
nep-FU19,FU19,VII
nep-FU2021,FU2021,VII
nep-FU22,FU22,VII
,,
,,
,,
,,
